Category: All categories

Region,covid cases: (11/30/19 - 4/21/22),lockdown: (11/30/19 - 4/21/22),covid symptoms: (11/30/19 - 4/21/22),quarantine: (11/30/19 - 4/21/22),stimulus check: (11/30/19 - 4/21/22)
West Virginia,19%,2%,16%,6%,57%
Mississippi,14%,2%,15%,6%,63%
Arkansas,20%,3%,15%,6%,56%
Kentucky,19%,3%,15%,8%,55%
Alabama,17%,3%,15%,7%,58%
Oklahoma,17%,4%,17%,7%,55%
Louisiana,12%,4%,16%,8%,60%
Tennessee,20%,4%,15%,8%,53%
Missouri,19%,4%,17%,10%,50%
South Carolina,20%,4%,15%,7%,54%
Indiana,16%,5%,17%,9%,53%
North Carolina,18%,5%,16%,8%,53%
Georgia,17%,5%,16%,8%,54%
Montana,42%,2%,14%,6%,36%
Ohio,21%,5%,16%,9%,49%
New Mexico,28%,4%,14%,8%,46%
Vermont,44%,3%,12%,9%,32%
South Dakota,28%,3%,17%,5%,47%
Hawaii,37%,5%,10%,17%,31%
Kansas,21%,4%,17%,11%,47%
Nevada,20%,6%,14%,10%,50%
Texas,20%,5%,16%,9%,50%
Idaho,25%,3%,17%,8%,47%
Iowa,25%,3%,19%,8%,45%
Arizona,26%,6%,15%,9%,44%
Wyoming,29%,3%,13%,7%,48%
Michigan,26%,7%,16%,9%,42%
Wisconsin,27%,5%,17%,9%,42%
Maine,31%,3%,15%,10%,41%
Alaska,31%,3%,13%,9%,44%
North Dakota,31%,3%,17%,7%,42%
Florida,22%,6%,15%,9%,48%
Illinois,23%,6%,16%,12%,43%
Oregon,31%,5%,14%,10%,40%
Pennsylvania,26%,5%,16%,11%,42%
Virginia,22%,6%,16%,11%,45%
Delaware,21%,4%,17%,11%,47%
Nebraska,25%,3%,19%,9%,44%
Rhode Island,25%,4%,16%,13%,42%
California,22%,9%,15%,12%,42%
Washington,25%,7%,15%,12%,41%
Maryland,22%,6%,17%,12%,43%
Minnesota,29%,5%,19%,10%,37%
Utah,31%,4%,18%,9%,38%
Connecticut,22%,5%,17%,15%,41%
New Hampshire,31%,3%,17%,12%,37%
Colorado,26%,6%,17%,11%,40%
New Jersey,27%,6%,14%,17%,36%
New York,23%,6%,14%,17%,40%
Massachusetts,31%,6%,16%,13%,34%
District of Columbia,29%,5%,14%,17%,35%
