Category: All categories

Week,covid after vaccine: (United States),vaccine side effects: (United States),covid vaccine cvs: (United States),Walgreens covid vaccine: (United States),vaccine mandate: (United States)
2019-12-01,0,1,0,0,<1
2019-12-08,0,1,0,0,<1
2019-12-15,0,1,0,0,<1
2019-12-22,0,1,0,0,<1
2019-12-29,0,1,0,0,<1
2020-01-05,0,1,0,0,<1
2020-01-12,0,1,0,0,<1
2020-01-19,0,1,0,0,<1
2020-01-26,0,1,0,0,<1
2020-02-02,0,1,0,0,<1
2020-02-09,0,1,0,0,<1
2020-02-16,<1,1,0,0,<1
2020-02-23,<1,1,0,0,<1
2020-03-01,<1,1,0,0,<1
2020-03-08,<1,1,<1,0,0
2020-03-15,<1,1,<1,<1,<1
2020-03-22,<1,1,0,0,<1
2020-03-29,<1,1,<1,<1,<1
2020-04-05,<1,<1,<1,<1,<1
2020-04-12,<1,<1,<1,<1,<1
2020-04-19,<1,<1,<1,<1,<1
2020-04-26,<1,1,<1,<1,<1
2020-05-03,<1,1,<1,<1,<1
2020-05-10,<1,1,<1,<1,<1
2020-05-17,<1,1,<1,<1,<1
2020-05-24,<1,1,<1,<1,<1
2020-05-31,<1,1,<1,<1,<1
2020-06-07,<1,1,<1,<1,<1
2020-06-14,<1,1,<1,<1,<1
2020-06-21,<1,1,<1,<1,<1
2020-06-28,<1,1,<1,<1,<1
2020-07-05,<1,1,<1,<1,<1
2020-07-12,<1,1,<1,<1,<1
2020-07-19,<1,1,<1,<1,<1
2020-07-26,<1,1,<1,<1,<1
2020-08-02,<1,1,<1,<1,<1
2020-08-09,<1,1,<1,<1,<1
2020-08-16,<1,1,<1,<1,<1
2020-08-23,<1,1,<1,<1,<1
2020-08-30,<1,1,<1,<1,<1
2020-09-06,<1,2,<1,<1,<1
2020-09-13,<1,2,<1,<1,<1
2020-09-20,<1,2,<1,<1,<1
2020-09-27,<1,2,<1,<1,<1
2020-10-04,<1,2,<1,<1,<1
2020-10-11,<1,2,<1,<1,<1
2020-10-18,<1,2,<1,<1,<1
2020-10-25,<1,2,<1,<1,<1
2020-11-01,<1,1,<1,<1,<1
2020-11-08,<1,2,<1,<1,1
2020-11-15,1,3,<1,<1,<1
2020-11-22,1,5,<1,<1,<1
2020-11-29,1,7,<1,<1,<1
2020-12-06,2,13,1,<1,1
2020-12-13,7,25,1,1,1
2020-12-20,7,14,1,1,<1
2020-12-27,9,15,3,2,<1
2021-01-03,12,18,5,4,<1
2021-01-10,19,24,9,8,<1
2021-01-17,19,22,11,10,<1
2021-01-24,24,22,12,14,<1
2021-01-31,24,22,24,23,<1
2021-02-07,27,22,60,51,<1
2021-02-14,23,17,41,34,<1
2021-02-21,26,22,46,34,<1
2021-02-28,33,30,81,48,1
2021-03-07,38,37,100,57,1
2021-03-14,39,36,82,52,<1
2021-03-21,44,36,76,49,1
2021-03-28,51,43,81,48,1
2021-04-04,55,54,67,46,1
2021-04-11,52,49,35,22,1
2021-04-18,44,36,21,13,1
2021-04-25,41,32,13,10,1
2021-05-02,34,26,12,8,1
2021-05-09,31,22,17,12,2
2021-05-16,27,20,12,9,2
2021-05-23,20,15,8,6,1
2021-05-30,14,11,7,5,1
2021-06-06,14,12,6,5,1
2021-06-13,12,11,5,4,1
2021-06-20,11,10,4,4,1
2021-06-27,10,9,4,3,1
2021-07-04,10,8,4,3,1
2021-07-11,11,11,4,4,1
2021-07-18,13,11,6,5,2
2021-07-25,15,13,7,6,8
2021-08-01,17,14,9,8,15
2021-08-08,17,15,8,7,13
2021-08-15,19,15,9,7,13
2021-08-22,19,16,8,7,16
2021-08-29,17,13,8,6,9
2021-09-05,14,11,6,4,41
2021-09-12,14,12,5,4,35
2021-09-19,12,10,6,4,15
2021-09-26,12,10,6,4,21
2021-10-03,10,9,5,3,19
2021-10-10,9,8,4,3,26
2021-10-17,8,8,6,4,23
2021-10-24,9,8,8,5,17
2021-10-31,10,8,12,10,38
2021-11-07,11,9,9,7,36
2021-11-14,11,9,10,7,32
2021-11-21,9,7,8,6,13
2021-11-28,10,9,11,8,21
2021-12-05,10,7,9,7,18
2021-12-12,10,7,9,6,14
2021-12-19,12,7,9,7,16
2021-12-26,11,7,9,7,12
2022-01-02,11,7,10,7,25
2022-01-09,10,7,7,4,47
2022-01-16,11,5,5,4,14
2022-01-23,6,4,3,2,13
2022-01-30,5,4,2,1,8
2022-02-06,4,3,2,1,10
2022-02-13,3,3,1,1,9
2022-02-20,2,3,1,1,7
2022-02-27,2,3,1,1,7
2022-03-06,2,4,1,1,5
2022-03-13,2,3,1,1,4
2022-03-20,2,2,1,1,4
2022-03-27,2,2,2,1,2
2022-04-03,2,2,2,1,3
2022-04-10,2,2,2,1,2
2022-04-17,2,2,2,1,3
