Category: All categories

Region,covid after vaccine: (11/30/19 - 4/21/22),vaccine side effects: (11/30/19 - 4/21/22),covid vaccine cvs: (11/30/19 - 4/21/22),Walgreens covid vaccine: (11/30/19 - 4/21/22),vaccine mandate: (11/30/19 - 4/21/22)
Massachusetts,18%,16%,45%,13%,8%
New Jersey,19%,16%,41%,15%,9%
Rhode Island,17%,17%,41%,18%,7%
Connecticut,21%,19%,36%,18%,6%
Illinois,20%,20%,13%,35%,12%
Maryland,22%,20%,30%,20%,8%
Delaware,20%,21%,17%,32%,10%
Virginia,24%,23%,31%,12%,10%
Pennsylvania,26%,25%,27%,9%,13%
New York,21%,19%,25%,19%,16%
Michigan,31%,28%,11%,13%,17%
Florida,23%,23%,27%,17%,10%
Washington,31%,32%,4%,8%,25%
Texas,23%,23%,29%,15%,10%
California,26%,25%,26%,10%,13%
Wisconsin,25%,27%,5%,29%,14%
Vermont,27%,28%,16%,18%,11%
New Hampshire,30%,30%,13%,10%,17%
Minnesota,26%,27%,14%,16%,17%
Colorado,31%,31%,8%,17%,13%
Oregon,30%,31%,4%,18%,17%
Ohio,23%,24%,22%,16%,15%
West Virginia,32%,34%,6%,13%,15%
Maine,25%,26%,8%,25%,16%
North Carolina,27%,27%,13%,21%,12%
Arizona,27%,25%,18%,17%,13%
Hawaii,27%,29%,22%,5%,17%
Indiana,33%,34%,9%,7%,17%
Tennessee,34%,32%,6%,10%,18%
Missouri,30%,31%,11%,14%,14%
Alaska,33%,38%,,6%,23%
Kentucky,31%,30%,7%,19%,13%
District of Columbia,24%,21%,25%,9%,21%
South Carolina,28%,27%,22%,12%,11%
Georgia,27%,27%,18%,16%,12%
North Dakota,30%,39%,7%,2%,22%
South Dakota,33%,39%,2%,7%,19%
Alabama,31%,30%,15%,11%,13%
New Mexico,32%,33%,9%,11%,15%
Idaho,30%,33%,1%,11%,25%
Montana,28%,33%,6%,6%,27%
Wyoming,30%,35%,1%,6%,28%
Iowa,23%,26%,16%,19%,16%
Kansas,29%,31%,10%,11%,19%
Nebraska,30%,32%,7%,10%,21%
Utah,31%,32%,7%,13%,17%
Arkansas,32%,33%,4%,11%,20%
Nevada,25%,25%,15%,20%,15%
Louisiana,27%,30%,12%,15%,16%
Mississippi,32%,33%,6%,12%,17%
Oklahoma,28%,30%,10%,12%,20%
