Category: All categories

Region,coronavirus: (11/30/19 - 4/21/22),covid: (11/30/19 - 4/21/22),covid 19: (11/30/19 - 4/21/22)
Vermont,28%,63%,9%
Hawaii,29%,60%,11%
Alaska,27%,62%,11%
New Hampshire,29%,60%,11%
Massachusetts,33%,59%,8%
Maine,33%,57%,10%
Connecticut,33%,59%,8%
Rhode Island,32%,59%,9%
Minnesota,32%,58%,10%
Oregon,33%,57%,10%
Montana,33%,54%,13%
District of Columbia,32%,60%,8%
Colorado,33%,59%,8%
Wisconsin,32%,58%,10%
New Jersey,36%,55%,9%
Washington,32%,59%,9%
New Mexico,35%,54%,11%
Delaware,35%,57%,8%
Illinois,34%,56%,10%
California,34%,56%,10%
South Dakota,31%,56%,13%
Pennsylvania,34%,57%,9%
Utah,36%,54%,10%
Michigan,38%,53%,9%
Maryland,36%,55%,9%
West Virginia,34%,55%,11%
Arizona,37%,53%,10%
Idaho,39%,51%,10%
Wyoming,37%,52%,11%
Iowa,33%,55%,12%
Virginia,35%,56%,9%
North Dakota,36%,54%,10%
New York,35%,57%,8%
Ohio,38%,53%,9%
Nebraska,31%,58%,11%
Florida,36%,54%,10%
Indiana,34%,56%,10%
Missouri,33%,57%,10%
Kentucky,32%,57%,11%
Nevada,37%,54%,9%
Kansas,34%,55%,11%
North Carolina,34%,56%,10%
Tennessee,33%,56%,11%
Arkansas,33%,55%,12%
South Carolina,34%,56%,10%
Oklahoma,32%,57%,11%
Texas,33%,56%,11%
Georgia,35%,55%,10%
Alabama,36%,53%,11%
Louisiana,37%,53%,10%
Mississippi,36%,53%,11%
