,state_name,state_rank,party
0,Vermont,0,D
1,Hawaii,1,D
2,Massachusetts,2,D
3,Maryland,3,D
4,California,4,D
5,New York,5,D
6,Washington,6,D
7,Rhode Island,7,D
8,Illinois,8,D
9,Connecticut,9,D
10,Oregon,10,D
11,New Jersey,11,D
12,Delaware,12,D
13,New Mexico,13,D
14,Colorado,14,D
15,Virginia,15,D
16,Minnesota,16,D
17,Maine,17,D
18,New Hampshire,18,D
19,Nevada,19,D
20,Michigan,20,R
21,Wisconsin,21,R
22,Pennsylvania,22,R
23,North Carolina,23,R
24,Georgia,24,R
25,Florida,25,R
26,Arizona,26,R
27,Ohio,27,R
28,Iowa,28,R
29,South Carolina,29,R
30,Mississippi,30,R
31,Alaska,31,R
32,Missouri,32,R
33,Montana,33,R
34,Kansas,34,R
35,Indiana,35,R
36,Louisiana,36,R
37,Utah,37,R
38,Nebraska,38,R
39,Tennessee,39,R
40,Texas,40,R
41,Alabama,41,R
42,South Dakota,42,R
43,Kentucky,43,R
44,Arkansas,44,R
45,Idaho,45,R
46,Oklahoma,46,R
47,North Dakota,47,R
48,West Virginia,48,R
49,Wyoming,49,R
