,week,covid_after_vax,vax_side_effects,covid_vax_cvs,covid_vax_walgreens,vax_mandate
0,2019-12-01,0,1,0,0,0.1
1,2019-12-08,0,1,0,0,0.1
2,2019-12-15,0,1,0,0,0.1
3,2019-12-22,0,1,0,0,0.1
4,2019-12-29,0,1,0,0,0.1
5,2020-01-05,0,1,0,0,0.1
6,2020-01-12,0,1,0,0,0.1
7,2020-01-19,0,1,0,0,0.1
8,2020-01-26,0,1,0,0,0.1
9,2020-02-02,0,1,0,0,0.1
10,2020-02-09,0,1,0,0,0.1
11,2020-02-16,0.1,1,0,0,0.1
12,2020-02-23,0.1,1,0,0,0.1
13,2020-03-01,0.1,1,0,0,0.1
14,2020-03-08,0.1,1,0.1,0,0
15,2020-03-15,0.1,1,0.1,0.1,0.1
16,2020-03-22,0.1,1,0,0,0.1
17,2020-03-29,0.1,1,0.1,0.1,0.1
18,2020-04-05,0.1,0.1,0.1,0.1,0.1
19,2020-04-12,0.1,0.1,0.1,0.1,0.1
20,2020-04-19,0.1,0.1,0.1,0.1,0.1
21,2020-04-26,0.1,1,0.1,0.1,0.1
22,2020-05-03,0.1,1,0.1,0.1,0.1
23,2020-05-10,0.1,1,0.1,0.1,0.1
24,2020-05-17,0.1,1,0.1,0.1,0.1
25,2020-05-24,0.1,1,0.1,0.1,0.1
26,2020-05-31,0.1,1,0.1,0.1,0.1
27,2020-06-07,0.1,1,0.1,0.1,0.1
28,2020-06-14,0.1,1,0.1,0.1,0.1
29,2020-06-21,0.1,1,0.1,0.1,0.1
30,2020-06-28,0.1,1,0.1,0.1,0.1
31,2020-07-05,0.1,1,0.1,0.1,0.1
32,2020-07-12,0.1,1,0.1,0.1,0.1
33,2020-07-19,0.1,1,0.1,0.1,0.1
34,2020-07-26,0.1,1,0.1,0.1,0.1
35,2020-08-02,0.1,1,0.1,0.1,0.1
36,2020-08-09,0.1,1,0.1,0.1,0.1
37,2020-08-16,0.1,1,0.1,0.1,0.1
38,2020-08-23,0.1,1,0.1,0.1,0.1
39,2020-08-30,0.1,1,0.1,0.1,0.1
40,2020-09-06,0.1,2,0.1,0.1,0.1
41,2020-09-13,0.1,2,0.1,0.1,0.1
42,2020-09-20,0.1,2,0.1,0.1,0.1
43,2020-09-27,0.1,2,0.1,0.1,0.1
44,2020-10-04,0.1,2,0.1,0.1,0.1
45,2020-10-11,0.1,2,0.1,0.1,0.1
46,2020-10-18,0.1,2,0.1,0.1,0.1
47,2020-10-25,0.1,2,0.1,0.1,0.1
48,2020-11-01,0.1,1,0.1,0.1,0.1
49,2020-11-08,0.1,2,0.1,0.1,1
50,2020-11-15,1,3,0.1,0.1,0.1
51,2020-11-22,1,5,0.1,0.1,0.1
52,2020-11-29,1,7,0.1,0.1,0.1
53,2020-12-06,2,13,1,0.1,1
54,2020-12-13,7,25,1,1,1
55,2020-12-20,7,14,1,1,0.1
56,2020-12-27,9,15,3,2,0.1
57,2021-01-03,12,18,5,4,0.1
58,2021-01-10,19,24,9,8,0.1
59,2021-01-17,19,22,11,10,0.1
60,2021-01-24,24,22,12,14,0.1
61,2021-01-31,24,22,24,23,0.1
62,2021-02-07,27,22,60,51,0.1
63,2021-02-14,23,17,41,34,0.1
64,2021-02-21,26,22,46,34,0.1
65,2021-02-28,33,30,81,48,1
66,2021-03-07,38,37,100,57,1
67,2021-03-14,39,36,82,52,0.1
68,2021-03-21,44,36,76,49,1
69,2021-03-28,51,43,81,48,1
70,2021-04-04,55,54,67,46,1
71,2021-04-11,52,49,35,22,1
72,2021-04-18,44,36,21,13,1
73,2021-04-25,41,32,13,10,1
74,2021-05-02,34,26,12,8,1
75,2021-05-09,31,22,17,12,2
76,2021-05-16,27,20,12,9,2
77,2021-05-23,20,15,8,6,1
78,2021-05-30,14,11,7,5,1
79,2021-06-06,14,12,6,5,1
80,2021-06-13,12,11,5,4,1
81,2021-06-20,11,10,4,4,1
82,2021-06-27,10,9,4,3,1
83,2021-07-04,10,8,4,3,1
84,2021-07-11,11,11,4,4,1
85,2021-07-18,13,11,6,5,2
86,2021-07-25,15,13,7,6,8
87,2021-08-01,17,14,9,8,15
88,2021-08-08,17,15,8,7,13
89,2021-08-15,19,15,9,7,13
90,2021-08-22,19,16,8,7,16
91,2021-08-29,17,13,8,6,9
92,2021-09-05,14,11,6,4,41
93,2021-09-12,14,12,5,4,35
94,2021-09-19,12,10,6,4,15
95,2021-09-26,12,10,6,4,21
96,2021-10-03,10,9,5,3,19
97,2021-10-10,9,8,4,3,26
98,2021-10-17,8,8,6,4,23
99,2021-10-24,9,8,8,5,17
100,2021-10-31,10,8,12,10,38
101,2021-11-07,11,9,9,7,36
102,2021-11-14,11,9,10,7,32
103,2021-11-21,9,7,8,6,13
104,2021-11-28,10,9,11,8,21
105,2021-12-05,10,7,9,7,18
106,2021-12-12,10,7,9,6,14
107,2021-12-19,12,7,9,7,16
108,2021-12-26,11,7,9,7,12
109,2022-01-02,11,7,10,7,25
110,2022-01-09,10,7,7,4,47
111,2022-01-16,11,5,5,4,14
112,2022-01-23,6,4,3,2,13
113,2022-01-30,5,4,2,1,8
114,2022-02-06,4,3,2,1,10
115,2022-02-13,3,3,1,1,9
116,2022-02-20,2,3,1,1,7
117,2022-02-27,2,3,1,1,7
118,2022-03-06,2,4,1,1,5
119,2022-03-13,2,3,1,1,4
120,2022-03-20,2,2,1,1,4
121,2022-03-27,2,2,2,1,2
122,2022-04-03,2,2,2,1,3
123,2022-04-10,2,2,2,1,2
124,2022-04-17,2,2,2,1,3
