,state_name,covid,covid19,coronavirus
0,Vermont,63,9,28
1,Hawaii,60,11,29
2,Alaska,62,11,27
3,New Hampshire,60,11,29
4,Massachusetts,59,8,33
5,Maine,57,10,33
6,Connecticut,59,8,33
7,Rhode Island,59,9,32
8,Minnesota,58,10,32
9,Oregon,57,10,33
10,Montana,54,13,33
11,District of Columbia,60,8,32
12,Colorado,59,8,33
13,Wisconsin,58,10,32
14,New Jersey,55,9,36
15,Washington,59,9,32
16,New Mexico,54,11,35
17,Delaware,57,8,35
18,Illinois,56,10,34
19,California,56,10,34
20,South Dakota,56,13,31
21,Pennsylvania,57,9,34
22,Utah,54,10,36
23,Michigan,53,9,38
24,Maryland,55,9,36
25,West Virginia,55,11,34
26,Arizona,53,10,37
27,Idaho,51,10,39
28,Wyoming,52,11,37
29,Iowa,55,12,33
30,Virginia,56,9,35
31,North Dakota,54,10,36
32,New York,57,8,35
33,Ohio,53,9,38
34,Nebraska,58,11,31
35,Florida,54,10,36
36,Indiana,56,10,34
37,Missouri,57,10,33
38,Kentucky,57,11,32
39,Nevada,54,9,37
40,Kansas,55,11,34
41,North Carolina,56,10,34
42,Tennessee,56,11,33
43,Arkansas,55,12,33
44,South Carolina,56,10,34
45,Oklahoma,57,11,32
46,Texas,56,11,33
47,Georgia,55,10,35
48,Alabama,53,11,36
49,Louisiana,53,10,37
50,Mississippi,53,11,36
