,week,coronavirus,covid,covid_19
0,2019-12-01,0.1,0,0
1,2019-12-08,0.1,0.1,0
2,2019-12-15,0.1,0.1,0
3,2019-12-22,0.1,0,0
4,2019-12-29,0.1,0,0
5,2020-01-05,0.1,0.1,0
6,2020-01-12,0.1,0,0
7,2020-01-19,5,0.1,0
8,2020-01-26,13,0.1,0
9,2020-02-02,8,0.1,0
10,2020-02-09,6,0.1,0.1
11,2020-02-16,4,0.1,0.1
12,2020-02-23,17,1,0.1
13,2020-03-01,30,2,1
14,2020-03-08,75,7,5
15,2020-03-15,100,19,13
16,2020-03-22,77,23,15
17,2020-03-29,62,24,15
18,2020-04-05,62,21,12
19,2020-04-12,47,17,9
20,2020-04-19,39,15,8
21,2020-04-26,22,14,7
22,2020-05-03,19,14,6
23,2020-05-10,17,13,6
24,2020-05-17,14,13,5
25,2020-05-24,12,11,5
26,2020-05-31,9,10,4
27,2020-06-07,9,10,4
28,2020-06-14,10,13,4
29,2020-06-21,12,16,6
30,2020-06-28,13,20,6
31,2020-07-05,13,21,6
32,2020-07-12,13,21,6
33,2020-07-19,10,18,4
34,2020-07-26,9,17,4
35,2020-08-02,7,16,3
36,2020-08-09,6,14,3
37,2020-08-16,5,13,3
38,2020-08-23,5,11,2
39,2020-08-30,5,12,2
40,2020-09-06,4,10,2
41,2020-09-13,4,10,2
42,2020-09-20,4,10,2
43,2020-09-27,4,13,2
44,2020-10-04,4,14,2
45,2020-10-11,4,12,2
46,2020-10-18,4,13,2
47,2020-10-25,5,15,2
48,2020-11-01,4,12,2
49,2020-11-08,5,20,3
50,2020-11-15,6,26,3
51,2020-11-22,5,19,2
52,2020-11-29,4,19,2
53,2020-12-06,4,21,3
54,2020-12-13,4,21,3
55,2020-12-20,4,21,2
56,2020-12-27,4,22,2
57,2021-01-03,3,21,2
58,2021-01-10,3,22,2
59,2021-01-17,3,21,2
60,2021-01-24,3,20,2
61,2021-01-31,2,19,2
62,2021-02-07,2,18,2
63,2021-02-14,2,16,1
64,2021-02-21,2,17,2
65,2021-02-28,2,19,2
66,2021-03-07,2,21,2
67,2021-03-14,2,19,1
68,2021-03-21,2,18,1
69,2021-03-28,2,20,1
70,2021-04-04,2,18,1
71,2021-04-11,2,15,1
72,2021-04-18,2,13,1
73,2021-04-25,2,15,1
74,2021-05-02,1,12,1
75,2021-05-09,1,12,1
76,2021-05-16,1,10,1
77,2021-05-23,1,9,1
78,2021-05-30,1,8,1
79,2021-06-06,1,7,1
80,2021-06-13,1,7,1
81,2021-06-20,1,7,1
82,2021-06-27,1,7,1
83,2021-07-04,1,7,1
84,2021-07-11,1,9,1
85,2021-07-18,1,13,1
86,2021-07-25,2,16,1
87,2021-08-01,2,23,1
88,2021-08-08,2,21,2
89,2021-08-15,2,21,1
90,2021-08-22,1,22,2
91,2021-08-29,1,22,1
92,2021-09-05,1,17,1
93,2021-09-12,1,15,1
94,2021-09-19,1,14,1
95,2021-09-26,1,13,1
96,2021-10-03,1,12,1
97,2021-10-10,1,10,1
98,2021-10-17,1,10,1
99,2021-10-24,1,10,1
100,2021-10-31,1,11,1
101,2021-11-07,1,11,1
102,2021-11-14,1,12,1
103,2021-11-21,1,12,1
104,2021-11-28,1,14,1
105,2021-12-05,1,12,1
106,2021-12-12,1,16,1
107,2021-12-19,1,28,2
108,2021-12-26,1,36,2
109,2022-01-02,1,36,2
110,2022-01-09,1,30,2
111,2022-01-16,1,30,1
112,2022-01-23,1,16,1
113,2022-01-30,1,11,1
114,2022-02-06,1,9,1
115,2022-02-13,1,8,0.1
116,2022-02-20,1,6,0.1
117,2022-02-27,0.1,6,0.1
118,2022-03-06,0.1,6,0.1
119,2022-03-13,0.1,6,0.1
120,2022-03-20,0.1,5,0.1
121,2022-03-27,0.1,5,0.1
122,2022-04-03,0.1,5,0.1
123,2022-04-10,0.1,5,0.1
124,2022-04-17,0.1,5,0.1
